Site,d13C,d15N,Catchment
U34,-28.44192301,7.452007244,Upper Tweed
U33,-28.43305553,7.34850454,Upper Tweed
G12,-28.40742373,10.39275704,Gala
G15,-28.40366914,8.634189957,Gala
U05,-28.39869973,7.785111371,Upper Tweed
U19,-28.39757472,10.77249583,Upper Tweed
U27,-28.38948669,9.868692584,Upper Tweed
G14,-28.38379912,7.828491759,Gala
G17,-28.3623533,9.757851778,Gala
U35,-28.35809112,7.834763755,Upper Tweed
U35,-28.35380661,7.63547921,Upper Tweed
U11,-28.35226365,6.398709427,Upper Tweed
G15,-28.35199715,9.026541585,Gala
U22,-28.34012646,6.926074143,Upper Tweed
U35,-28.31831499,7.875293349,Upper Tweed
G12,-28.2901455,11.14790152,Gala
U11,-28.28535051,6.618053152,Upper Tweed
U35,-28.27862124,8.263108763,Upper Tweed
G18,-28.27729921,8.697329612,Gala
U24,-28.27608283,10.57001667,Upper Tweed
G03,-28.27362097,8.236364893,Gala
U33,-28.27327563,7.615816526,Upper Tweed
U11,-28.26162416,6.595960811,Upper Tweed
U09,-28.23119505,7.358943985,Upper Tweed
G03,-28.18842137,8.450791188,Gala
U34,-28.12492592,8.085144669,Upper Tweed
U11,-28.07943692,5.97370497,Upper Tweed
G04,-28.06765274,8.710991127,Gala
G06,-28.06642318,7.779261419,Gala
U14,-28.06169693,6.926932122,Upper Tweed
U13,-28.060147,8.175891822,Upper Tweed
U33,-28.04611342,8.140381529,Upper Tweed
U32,-28.03106714,5.704166178,Upper Tweed
U14,-28.03062862,6.841901358,Upper Tweed
U19,-28.02827443,10.24862999,Upper Tweed
U19,-28.00327118,10.2883752,Upper Tweed
G06,-27.98985471,7.71783112,Gala
U25,-27.96753808,7.860760582,Upper Tweed
U19,-27.96667672,10.74885276,Upper Tweed
U14,-27.94518842,7.477845669,Upper Tweed
U09,-27.93992506,7.60196652,Upper Tweed
U25,-27.93346025,7.964617482,Upper Tweed
U19,-27.92012501,10.52419132,Upper Tweed
G06,-27.91202906,9.092008102,Gala
U25,-27.90238751,8.031373013,Upper Tweed
